# Mass = 1.4 Msun 
# R_sp = 12.03683363 km 
# M/R = 0.1717457529
# R/M = 5.822560285
#alpha #b/R #psi #dcosalpha/dcospsi #toa*C/R
1.164270189 1.133597778 1.489887694 0.6613298706 0.9706011931 
1.165536527 1.13421487 1.49165254 0.6613603271 0.9726003766 
1.166806614 1.134831961 1.493423243 0.661391061 0.9746072586 
1.168080485 1.135449053 1.495199861 0.6614220759 0.9766219127 
1.169358178 1.136066145 1.496982453 0.6614533757 0.9786444115 
1.170639727 1.136683237 1.498771076 0.6614849642 0.9806748273 
1.171925172 1.137300329 1.50056579 0.6615168454 0.9827132354 
1.173214549 1.137917421 1.502366657 0.6615490233 0.9847597117 
1.174507897 1.138534513 1.504173738 0.661581502 0.9868143338 
1.175805255 1.139151605 1.505987096 0.6616142856 0.988877179 
1.177106663 1.139768697 1.507806795 0.6616473785 0.9909483273 
1.178412162 1.140385788 1.5096329 0.6616807848 0.9930278592 
1.179721791 1.14100288 1.511465476 0.6617145092 0.995115858 
1.181035594 1.141619972 1.513304592 0.6617485561 0.9972124057 
1.182353612 1.142237064 1.515150314 0.66178293 0.999317588 
1.183675889 1.142854156 1.517002714 0.6618176357 1.001431491 
1.185002469 1.143471248 1.51886186 0.661852678 1.003554204 
1.186333395 1.14408834 1.520727825 0.6618880617 1.005685814 
1.187668715 1.144705432 1.522600682 0.6619237919 1.007826412 
1.189008473 1.145322523 1.524480506 0.6619598735 1.009976092 
1.190352716 1.145939615 1.526367372 0.6619963119 1.012134948 
1.191701494 1.146556707 1.528261357 0.6620331123 1.014303074 
1.193054853 1.147173799 1.530162539 0.6620702801 1.016480568 
1.194412844 1.147790891 1.532070999 0.6621078208 1.018667529 
1.195775518 1.148407983 1.533986817 0.6621457401 1.020864058 
1.197142925 1.149025075 1.535910076 0.6621840437 1.023070258 
1.198515118 1.149642167 1.537840861 0.6622227375 1.025286233 
1.199892149 1.150259258 1.539779257 0.6622618275 1.027512088 
1.201274074 1.15087635 1.541725351 0.6623013199 1.029747933 
1.202660947 1.151493442 1.543679233 0.662341221 1.031993879 
1.204052825 1.152110534 1.545640994 0.662381537 1.034250038 
