#nu mu I
2.238601e+15 9.334152e-01 8.112180e-01
2.238601e+15 9.356009e-01 8.112970e-01
2.238601e+15 9.377521e-01 8.113740e-01
2.238601e+15 9.398669e-01 8.114500e-01
2.238601e+15 9.419469e-01 8.115250e-01
2.238601e+15 9.439920e-01 8.115980e-01
2.238601e+15 9.459999e-01 8.116700e-01
2.238601e+15 9.479731e-01 8.117400e-01
2.238601e+15 9.499111e-01 8.118100e-01
2.238601e+15 9.518121e-01 8.118780e-01
2.238601e+15 9.536780e-01 8.119440e-01
2.238601e+15 9.555080e-01 8.120100e-01
2.238601e+15 9.573011e-01 8.120730e-01
2.238601e+15 9.590589e-01 8.121360e-01
2.238601e+15 9.607800e-01 8.121960e-01
2.238601e+15 9.624651e-01 8.122560e-01
2.238601e+15 9.641139e-01 8.123140e-01
2.238601e+15 9.657261e-01 8.123720e-01
2.238601e+15 9.673021e-01 8.124280e-01
2.238601e+15 9.688421e-01 8.124820e-01
2.238601e+15 9.703451e-01 8.125340e-01
2.238601e+15 9.718110e-01 8.125860e-01
2.238601e+15 9.732409e-01 8.126360e-01
2.238601e+15 9.746339e-01 8.126860e-01
2.238601e+15 9.759899e-01 8.127340e-01
2.238601e+15 9.773091e-01 8.127800e-01
2.238601e+15 9.785920e-01 8.128240e-01
2.238601e+15 9.798371e-01 8.128680e-01
2.238601e+15 9.810459e-01 8.129100e-01
2.238601e+15 9.822180e-01 8.129520e-01
2.238601e+15 9.833520e-01 8.129920e-01
2.238601e+15 9.844500e-01 8.130300e-01
2.238601e+15 9.855101e-01 8.130660e-01
2.238601e+15 9.865329e-01 8.131020e-01
2.238601e+15 9.875191e-01 8.131360e-01
2.238601e+15 9.884680e-01 8.131700e-01
2.238601e+15 9.893790e-01 8.132020e-01
2.238601e+15 9.902529e-01 8.132320e-01
2.238601e+15 9.910900e-01 8.132610e-01
2.238601e+15 9.918890e-01 8.132890e-01
2.238601e+15 9.926510e-01 8.133160e-01
2.238601e+15 9.933761e-01 8.133400e-01
2.238601e+15 9.940630e-01 8.133640e-01
2.238601e+15 9.947120e-01 8.133870e-01
2.238601e+15 9.953240e-01 8.134080e-01
2.238601e+15 9.958990e-01 8.134280e-01
2.238601e+15 9.964360e-01 8.134470e-01
2.238601e+15 9.969350e-01 8.134640e-01
2.238601e+15 9.973970e-01 8.134800e-01
2.238601e+15 9.978210e-01 8.134950e-01
2.238601e+15 9.982070e-01 8.135080e-01
2.238601e+15 9.985560e-01 8.135200e-01
2.238601e+15 9.988670e-01 8.135310e-01
2.238601e+15 9.991400e-01 8.135400e-01
2.238601e+15 9.993760e-01 8.135480e-01
2.238601e+15 9.995740e-01 8.135560e-01
2.238601e+15 9.997340e-01 8.135620e-01
2.238601e+15 9.998570e-01 8.135660e-01
2.238601e+15 9.999420e-01 8.135680e-01
2.238601e+15 9.999890e-01 8.135700e-01


2.419803e+15 1.000000e-06 7.191360e-01
2.419803e+15 6.146288e-03 8.724210e-01
2.419803e+15 1.228602e-02 8.740260e-01
2.419803e+15 1.842528e-02 8.754370e-01
2.419803e+15 2.456386e-02 8.767400e-01
2.419803e+15 3.070150e-02 8.779660e-01
2.419803e+15 3.684798e-02 8.791320e-01
2.419803e+15 4.298308e-02 8.802460e-01
2.419803e+15 4.911656e-02 8.813160e-01
2.419803e+15 5.524818e-02 8.823460e-01
2.419803e+15 6.137772e-02 8.833400e-01
2.419803e+15 6.751493e-02 8.843030e-01
2.419803e+15 7.363961e-02 8.852360e-01
2.419803e+15 7.976151e-02 8.861430e-01
2.419803e+15 8.588041e-02 8.870260e-01
2.419803e+15 9.199607e-02 8.878860e-01
2.419803e+15 9.810826e-02 8.887260e-01
