#nu mu I
2.238601e+15 9.688421e-01 7.843260e-01
2.238601e+15 9.703451e-01 7.843820e-01
2.238601e+15 9.718110e-01 7.844360e-01
2.238601e+15 9.732409e-01 7.844900e-01
2.238601e+15 9.746339e-01 7.845420e-01
2.238601e+15 9.759899e-01 7.845940e-01
2.238601e+15 9.773091e-01 7.846420e-01
2.238601e+15 9.785920e-01 7.846900e-01
2.238601e+15 9.798371e-01 7.847380e-01
2.238601e+15 9.810459e-01 7.847820e-01
2.238601e+15 9.822180e-01 7.848260e-01
2.238601e+15 9.833520e-01 7.848680e-01
2.238601e+15 9.844500e-01 7.849100e-01
2.238601e+15 9.855101e-01 7.849480e-01
2.238601e+15 9.865329e-01 7.849860e-01
2.238601e+15 9.875191e-01 7.850240e-01
2.238601e+15 9.884680e-01 7.850580e-01
2.238601e+15 9.893790e-01 7.850920e-01
2.238601e+15 9.902529e-01 7.851240e-01
2.238601e+15 9.910900e-01 7.851560e-01
2.238601e+15 9.918890e-01 7.851860e-01
2.238601e+15 9.926510e-01 7.852140e-01
2.238601e+15 9.933761e-01 7.852400e-01
2.238601e+15 9.940630e-01 7.852660e-01
2.238601e+15 9.947120e-01 7.852900e-01
2.238601e+15 9.953240e-01 7.853120e-01
2.238601e+15 9.958990e-01 7.853340e-01
2.238601e+15 9.964360e-01 7.853540e-01
2.238601e+15 9.969350e-01 7.853720e-01
2.238601e+15 9.973970e-01 7.853900e-01
2.238601e+15 9.978210e-01 7.854040e-01
2.238601e+15 9.982070e-01 7.854190e-01
2.238601e+15 9.985560e-01 7.854320e-01
2.238601e+15 9.988670e-01 7.854440e-01
2.238601e+15 9.991400e-01 7.854540e-01
2.238601e+15 9.993760e-01 7.854620e-01
2.238601e+15 9.995740e-01 7.854700e-01
2.238601e+15 9.997340e-01 7.854760e-01
2.238601e+15 9.998570e-01 7.854800e-01
2.238601e+15 9.999420e-01 7.854830e-01
2.238601e+15 9.999890e-01 7.854840e-01


2.419803e+15 1.000000e-06 7.830090e-01
2.419803e+15 6.146288e-03 8.343910e-01
2.419803e+15 1.228602e-02 8.362010e-01
2.419803e+15 1.842528e-02 8.377610e-01
2.419803e+15 2.456386e-02 8.391960e-01
2.419803e+15 3.070150e-02 8.405370e-01
2.419803e+15 3.684798e-02 8.418050e-01
2.419803e+15 4.298308e-02 8.430110e-01
2.419803e+15 4.911656e-02 8.441630e-01
2.419803e+15 5.524818e-02 8.452690e-01
2.419803e+15 6.137772e-02 8.463350e-01
2.419803e+15 6.751493e-02 8.473650e-01
2.419803e+15 7.363961e-02 8.483620e-01
2.419803e+15 7.976151e-02 8.493310e-01
2.419803e+15 8.588041e-02 8.502730e-01
2.419803e+15 9.199607e-02 8.511910e-01
2.419803e+15 9.810826e-02 8.520870e-01
2.419803e+15 1.042267e-01 8.529610e-01
2.419803e+15 1.103312e-01 8.538160e-01
2.419803e+15 1.164316e-01 8.546520e-01
2.419803e+15 1.225277e-01 8.554720e-01
2.419803e+15 1.286190e-01 8.562750e-01
2.419803e+15 1.347155e-01 8.570620e-01
2.419803e+15 1.407969e-01 8.578350e-01
2.419803e+15 1.468731e-01 8.585940e-01
2.419803e+15 1.529437e-01 8.593390e-01
2.419803e+15 1.590085e-01 8.600720e-01
2.419803e+15 1.650772e-01 8.607920e-01
2.419803e+15 1.711299e-01 8.615020e-01
2.419803e+15 1.771760e-01 8.621990e-01
2.419803e+15 1.832155e-01 8.628860e-01
2.419803e+15 1.892481e-01 8.635620e-01
2.419803e+15 1.952735e-01 8.642280e-01
2.419803e+15 2.013014e-01 8.648840e-01
2.419803e+15 2.073119e-01 8.655320e-01
