#nu mu I
1.263501e+15 6.443541e-01 1.622223e-01
1.263501e+15 6.490388e-01 1.622573e-01
1.263501e+15 6.536991e-01 1.622922e-01
1.263501e+15 6.583348e-01 1.623268e-01
1.263501e+15 6.629463e-01 1.623611e-01
1.263501e+15 6.675313e-01 1.623951e-01
1.263501e+15 6.720919e-01 1.624289e-01
1.263501e+15 6.766272e-01 1.624623e-01
1.263501e+15 6.811369e-01 1.624955e-01
1.263501e+15 6.856209e-01 1.625284e-01
1.263501e+15 6.900791e-01 1.625611e-01
1.263501e+15 6.945112e-01 1.625935e-01
1.263501e+15 6.989171e-01 1.626255e-01
1.263501e+15 7.032960e-01 1.626573e-01
1.263501e+15 7.076490e-01 1.626889e-01
1.263501e+15 7.119747e-01 1.627201e-01
1.263501e+15 7.162749e-01 1.627512e-01
1.263501e+15 7.205473e-01 1.627819e-01
1.263501e+15 7.247919e-01 1.628124e-01
1.263501e+15 7.290099e-01 1.628427e-01
1.263501e+15 7.332010e-01 1.628725e-01
1.263501e+15 7.373631e-01 1.629023e-01
1.263501e+15 7.414981e-01 1.629317e-01
1.263501e+15 7.456050e-01 1.629607e-01
1.263501e+15 7.496839e-01 1.629897e-01
1.263501e+15 7.537352e-01 1.630183e-01
1.263501e+15 7.577573e-01 1.630467e-01
1.263501e+15 7.617502e-01 1.630747e-01
1.263501e+15 7.657150e-01 1.631025e-01
1.263501e+15 7.696510e-01 1.631301e-01
1.263501e+15 7.735579e-01 1.631574e-01
1.263501e+15 7.774350e-01 1.631845e-01
1.263501e+15 7.812840e-01 1.632113e-01
1.263501e+15 7.851029e-01 1.632377e-01
1.263501e+15 7.888923e-01 1.632639e-01
1.263501e+15 7.926512e-01 1.632899e-01
1.263501e+15 7.963808e-01 1.633157e-01
1.263501e+15 8.000811e-01 1.633413e-01
1.263501e+15 8.037499e-01 1.633665e-01
1.263501e+15 8.073890e-01 1.633915e-01
1.263501e+15 8.109982e-01 1.634161e-01
1.263501e+15 8.145763e-01 1.634405e-01
1.263501e+15 8.181230e-01 1.634647e-01
1.263501e+15 8.216389e-01 1.634887e-01
1.263501e+15 8.251249e-01 1.635125e-01
1.263501e+15 8.285793e-01 1.635359e-01
1.263501e+15 8.320018e-01 1.635591e-01
1.263501e+15 8.353941e-01 1.635819e-01
1.263501e+15 8.387542e-01 1.636047e-01
1.263501e+15 8.420822e-01 1.636271e-01
1.263501e+15 8.453790e-01 1.636493e-01
1.263501e+15 8.486439e-01 1.636711e-01
1.263501e+15 8.518768e-01 1.636929e-01
1.263501e+15 8.550770e-01 1.637143e-01
1.263501e+15 8.582460e-01 1.637355e-01
1.263501e+15 8.613821e-01 1.637563e-01
1.263501e+15 8.644852e-01 1.637771e-01
1.263501e+15 8.675562e-01 1.637975e-01
1.263501e+15 8.705950e-01 1.638177e-01
1.263501e+15 8.735999e-01 1.638375e-01
1.263501e+15 8.765719e-01 1.638573e-01
1.263501e+15 8.795118e-01 1.638767e-01
1.263501e+15 8.824180e-01 1.638959e-01
1.263501e+15 8.852910e-01 1.639147e-01
1.263501e+15 8.881301e-01 1.639335e-01
1.263501e+15 8.909361e-01 1.639519e-01
1.263501e+15 8.937090e-01 1.639701e-01
1.263501e+15 8.964468e-01 1.639880e-01
1.263501e+15 8.991522e-01 1.640057e-01
1.263501e+15 9.018231e-01 1.640231e-01
1.263501e+15 9.044601e-01 1.640403e-01
1.263501e+15 9.070630e-01 1.640573e-01
1.263501e+15 9.096320e-01 1.640741e-01
1.263501e+15 9.121659e-01 1.640905e-01
1.263501e+15 9.146662e-01 1.641067e-01
1.263501e+15 9.171312e-01 1.641227e-01
1.263501e+15 9.195620e-01 1.641385e-01
1.263501e+15 9.219581e-01 1.641539e-01
1.263501e+15 9.243190e-01 1.641693e-01
1.263501e+15 9.266459e-01 1.641843e-01
1.263501e+15 9.289370e-01 1.641991e-01
1.263501e+15 9.311938e-01 1.642135e-01
1.263501e+15 9.334152e-01 1.642279e-01
1.263501e+15 9.356009e-01 1.642419e-01
1.263501e+15 9.377521e-01 1.642557e-01
1.263501e+15 9.398669e-01 1.642693e-01
1.263501e+15 9.419469e-01 1.642825e-01
1.263501e+15 9.439920e-01 1.642957e-01
1.263501e+15 9.459999e-01 1.643085e-01
1.263501e+15 9.479731e-01 1.643211e-01
1.263501e+15 9.499111e-01 1.643335e-01
1.263501e+15 9.518121e-01 1.643455e-01
1.263501e+15 9.536780e-01 1.643575e-01
1.263501e+15 9.555080e-01 1.643691e-01
1.263501e+15 9.573011e-01 1.643805e-01
1.263501e+15 9.590589e-01 1.643917e-01
1.263501e+15 9.607800e-01 1.644025e-01
1.263501e+15 9.624651e-01 1.644133e-01
1.263501e+15 9.641139e-01 1.644237e-01
1.263501e+15 9.657261e-01 1.644339e-01
1.263501e+15 9.673021e-01 1.644439e-01
1.263501e+15 9.688421e-01 1.644537e-01
1.263501e+15 9.703451e-01 1.644631e-01
1.263501e+15 9.718110e-01 1.644723e-01
1.263501e+15 9.732409e-01 1.644813e-01
1.263501e+15 9.746339e-01 1.644901e-01
1.263501e+15 9.759899e-01 1.644987e-01
1.263501e+15 9.773091e-01 1.645070e-01
1.263501e+15 9.785920e-01 1.645151e-01
1.263501e+15 9.798371e-01 1.645229e-01
1.263501e+15 9.810459e-01 1.645305e-01
1.263501e+15 9.822180e-01 1.645379e-01
1.263501e+15 9.833520e-01 1.645449e-01
1.263501e+15 9.844500e-01 1.645519e-01
1.263501e+15 9.855101e-01 1.645585e-01
1.263501e+15 9.865329e-01 1.645649e-01
1.263501e+15 9.875191e-01 1.645711e-01
1.263501e+15 9.884680e-01 1.645771e-01
1.263501e+15 9.893790e-01 1.645827e-01
1.263501e+15 9.902529e-01 1.645882e-01
1.263501e+15 9.910900e-01 1.645935e-01
1.263501e+15 9.918890e-01 1.645985e-01
1.263501e+15 9.926510e-01 1.646032e-01
1.263501e+15 9.933761e-01 1.646077e-01
1.263501e+15 9.940630e-01 1.646121e-01
1.263501e+15 9.947120e-01 1.646161e-01
1.263501e+15 9.953240e-01 1.646199e-01
1.263501e+15 9.958990e-01 1.646235e-01
1.263501e+15 9.964360e-01 1.646269e-01
1.263501e+15 9.969350e-01 1.646299e-01
1.263501e+15 9.973970e-01 1.646329e-01
1.263501e+15 9.978210e-01 1.646355e-01
1.263501e+15 9.982070e-01 1.646379e-01
1.263501e+15 9.985560e-01 1.646401e-01
1.263501e+15 9.988670e-01 1.646419e-01
